Statistik;Gebiet;Ausgabeart_1;Ausgabeart_2;Jahr;Masseinheit;Ausgaben_je_Schueler;Anmerkung
Bildungsberichterstattung für nationale Zwecke;Baden-Württemberg;Personalausgaben;Insgesamt;2023;Euro;7600;-
Bildungsberichterstattung für nationale Zwecke;Bayern;Personalausgaben;Insgesamt;2023;Euro;7800;-
Bildungsberichterstattung für nationale Zwecke;Berlin;Personalausgaben;Insgesamt;2023;Euro;8800;-
Bildungsberichterstattung für nationale Zwecke;Brandenburg;Personalausgaben;Insgesamt;2023;Euro;7200;-
Bildungsberichterstattung für nationale Zwecke;Bremen;Personalausgaben;Insgesamt;2023;Euro;7700;-
Bildungsberichterstattung für nationale Zwecke;Hamburg;Personalausgaben;Insgesamt;2023;Euro;8000;-
Bildungsberichterstattung für nationale Zwecke;Hessen;Personalausgaben;Insgesamt;2023;Euro;7200;-
Bildungsberichterstattung für nationale Zwecke;Mecklenburg-Vorpommern;Personalausgaben;Insgesamt;2023;Euro;6500;-
Bildungsberichterstattung für nationale Zwecke;Niedersachsen;Personalausgaben;Insgesamt;2023;Euro;7300;-
Bildungsberichterstattung für nationale Zwecke;Nordrhein-Westfalen;Personalausgaben;Insgesamt;2023;Euro;7000;-
Bildungsberichterstattung für nationale Zwecke;Rheinland-Pfalz;Personalausgaben;Insgesamt;2023;Euro;7300;-
Bildungsberichterstattung für nationale Zwecke;Saarland;Personalausgaben;Insgesamt;2023;Euro;7300;-
Bildungsberichterstattung für nationale Zwecke;Sachsen;Personalausgaben;Insgesamt;2023;Euro;6900;-
Bildungsberichterstattung für nationale Zwecke;Sachsen-Anhalt ;Personalausgaben;Insgesamt;2023;Euro;7100;-
Bildungsberichterstattung für nationale Zwecke;Schleswig-Holstein;Personalausgaben;Insgesamt;2023;Euro;7200;-
Bildungsberichterstattung für nationale Zwecke;Thüringen;Personalausgaben;Insgesamt;2023;Euro;8400;-
Bildungsberichterstattung für nationale Zwecke;Deutschland;Personalausgaben;Insgesamt;2023;Euro;7400;-
Bildungsberichterstattung für nationale Zwecke;Baden-Württemberg;Laufender Sachaufwand;Insgesamt;2023;Euro;1100;-
Bildungsberichterstattung für nationale Zwecke;Bayern;Laufender Sachaufwand;Insgesamt;2023;Euro;1400;-
Bildungsberichterstattung für nationale Zwecke;Berlin;Laufender Sachaufwand;Insgesamt;2023;Euro;2900;-
Bildungsberichterstattung für nationale Zwecke;Brandenburg;Laufender Sachaufwand;Insgesamt;2023;Euro;1300;-
Bildungsberichterstattung für nationale Zwecke;Bremen;Laufender Sachaufwand;Insgesamt;2023;Euro;1800;-
Bildungsberichterstattung für nationale Zwecke;Hamburg;Laufender Sachaufwand;Insgesamt;2023;Euro;4100;-
Bildungsberichterstattung für nationale Zwecke;Hessen;Laufender Sachaufwand;Insgesamt;2023;Euro;1300;-
Bildungsberichterstattung für nationale Zwecke;Mecklenburg-Vorpommern;Laufender Sachaufwand;Insgesamt;2023;Euro;1500;-
Bildungsberichterstattung für nationale Zwecke;Niedersachsen;Laufender Sachaufwand;Insgesamt;2023;Euro;1100;-
Bildungsberichterstattung für nationale Zwecke;Nordrhein-Westfalen;Laufender Sachaufwand;Insgesamt;2023;Euro;1200;-
Bildungsberichterstattung für nationale Zwecke;Rheinland-Pfalz;Laufender Sachaufwand;Insgesamt;2023;Euro;900;-
Bildungsberichterstattung für nationale Zwecke;Saarland;Laufender Sachaufwand;Insgesamt;2023;Euro;1400;-
Bildungsberichterstattung für nationale Zwecke;Sachsen;Laufender Sachaufwand;Insgesamt;2023;Euro;1100;-
Bildungsberichterstattung für nationale Zwecke;Sachsen-Anhalt ;Laufender Sachaufwand;Insgesamt;2023;Euro;1000;-
Bildungsberichterstattung für nationale Zwecke;Schleswig-Holstein;Laufender Sachaufwand;Insgesamt;2023;Euro;1300;-
Bildungsberichterstattung für nationale Zwecke;Thüringen;Laufender Sachaufwand;Insgesamt;2023;Euro;1100;-
Bildungsberichterstattung für nationale Zwecke;Deutschland;Laufender Sachaufwand;Insgesamt;2023;Euro;1300;-
Bildungsberichterstattung für nationale Zwecke;Baden-Württemberg;Investitionen;Insgesamt;2023;Euro;800;-
Bildungsberichterstattung für nationale Zwecke;Bayern;Investitionen;Insgesamt;2023;Euro;2000;-
Bildungsberichterstattung für nationale Zwecke;Berlin;Investitionen;Insgesamt;2023;Euro;1800;-
Bildungsberichterstattung für nationale Zwecke;Brandenburg;Investitionen;Insgesamt;2023;Euro;1300;-
Bildungsberichterstattung für nationale Zwecke;Bremen;Investitionen;Insgesamt;2023;Euro;300;-
Bildungsberichterstattung für nationale Zwecke;Hamburg;Investitionen;Insgesamt;2023;Euro;100;-
Bildungsberichterstattung für nationale Zwecke;Hessen;Investitionen;Insgesamt;2023;Euro;1000;-
Bildungsberichterstattung für nationale Zwecke;Mecklenburg-Vorpommern;Investitionen;Insgesamt;2023;Euro;1200;-
Bildungsberichterstattung für nationale Zwecke;Niedersachsen;Investitionen;Insgesamt;2023;Euro;1100;-
Bildungsberichterstattung für nationale Zwecke;Nordrhein-Westfalen;Investitionen;Insgesamt;2023;Euro;600;-
Bildungsberichterstattung für nationale Zwecke;Rheinland-Pfalz;Investitionen;Insgesamt;2023;Euro;800;-
Bildungsberichterstattung für nationale Zwecke;Saarland;Investitionen;Insgesamt;2023;Euro;800;-
Bildungsberichterstattung für nationale Zwecke;Sachsen;Investitionen;Insgesamt;2023;Euro;1200;-
Bildungsberichterstattung für nationale Zwecke;Sachsen-Anhalt ;Investitionen;Insgesamt;2023;Euro;800;-
Bildungsberichterstattung für nationale Zwecke;Schleswig-Holstein;Investitionen;Insgesamt;2023;Euro;900;-
Bildungsberichterstattung für nationale Zwecke;Thüringen;Investitionen;Insgesamt;2023;Euro;700;-
Bildungsberichterstattung für nationale Zwecke;Deutschland;Investitionen;Insgesamt;2023;Euro;1000;-
Bildungsberichterstattung für nationale Zwecke;Baden-Württemberg;Gesamtausgaben;Insgesamt;2023;Euro;9500;-
Bildungsberichterstattung für nationale Zwecke;Bayern;Gesamtausgaben;Insgesamt;2023;Euro;11200;-
Bildungsberichterstattung für nationale Zwecke;Berlin;Gesamtausgaben;Insgesamt;2023;Euro;13500;-
Bildungsberichterstattung für nationale Zwecke;Brandenburg;Gesamtausgaben;Insgesamt;2023;Euro;9800;-
Bildungsberichterstattung für nationale Zwecke;Bremen;Gesamtausgaben;Insgesamt;2023;Euro;9800;-
Bildungsberichterstattung für nationale Zwecke;Hamburg;Gesamtausgaben;Insgesamt;2023;Euro;12200;-
Bildungsberichterstattung für nationale Zwecke;Hessen;Gesamtausgaben;Insgesamt;2023;Euro;9500;-
Bildungsberichterstattung für nationale Zwecke;Mecklenburg-Vorpommern;Gesamtausgaben;Insgesamt;2023;Euro;9200;-
Bildungsberichterstattung für nationale Zwecke;Niedersachsen;Gesamtausgaben;Insgesamt;2023;Euro;9500;-
Bildungsberichterstattung für nationale Zwecke;Nordrhein-Westfalen;Gesamtausgaben;Insgesamt;2023;Euro;8900;-
Bildungsberichterstattung für nationale Zwecke;Rheinland-Pfalz;Gesamtausgaben;Insgesamt;2023;Euro;9000;-
Bildungsberichterstattung für nationale Zwecke;Saarland;Gesamtausgaben;Insgesamt;2023;Euro;9500;-
Bildungsberichterstattung für nationale Zwecke;Sachsen;Gesamtausgaben;Insgesamt;2023;Euro;9300;-
Bildungsberichterstattung für nationale Zwecke;Sachsen-Anhalt ;Gesamtausgaben;Insgesamt;2023;Euro;8900;-
Bildungsberichterstattung für nationale Zwecke;Schleswig-Holstein;Gesamtausgaben;Insgesamt;2023;Euro;9400;-
Bildungsberichterstattung für nationale Zwecke;Thüringen;Gesamtausgaben;Insgesamt;2023;Euro;10200;-
Bildungsberichterstattung für nationale Zwecke;Deutschland;Gesamtausgaben;Insgesamt;2023;Euro;9800;-
Bildungsberichterstattung für nationale Zwecke;Baden-Württemberg;Gesamtausgaben;darunter: Länder;2023;Euro;7000;-
Bildungsberichterstattung für nationale Zwecke;Bayern;Gesamtausgaben;darunter: Länder;2023;Euro;6800;-
Bildungsberichterstattung für nationale Zwecke;Berlin;Gesamtausgaben;darunter: Länder;2023;Euro;13500;-
Bildungsberichterstattung für nationale Zwecke;Brandenburg;Gesamtausgaben;darunter: Länder;2023;Euro;6700;-
Bildungsberichterstattung für nationale Zwecke;Bremen;Gesamtausgaben;darunter: Länder;2023;Euro;9800;-
Bildungsberichterstattung für nationale Zwecke;Hamburg;Gesamtausgaben;darunter: Länder;2023;Euro;12200;-
Bildungsberichterstattung für nationale Zwecke;Hessen;Gesamtausgaben;darunter: Länder;2023;Euro;7000;-
Bildungsberichterstattung für nationale Zwecke;Mecklenburg-Vorpommern;Gesamtausgaben;darunter: Länder;2023;Euro;6300;-
Bildungsberichterstattung für nationale Zwecke;Niedersachsen;Gesamtausgaben;darunter: Länder;2023;Euro;6900;-
Bildungsberichterstattung für nationale Zwecke;Nordrhein-Westfalen;Gesamtausgaben;darunter: Länder;2023;Euro;6700;-
Bildungsberichterstattung für nationale Zwecke;Rheinland-Pfalz;Gesamtausgaben;darunter: Länder;2023;Euro;6900;-
Bildungsberichterstattung für nationale Zwecke;Saarland;Gesamtausgaben;darunter: Länder;2023;Euro;7100;-
Bildungsberichterstattung für nationale Zwecke;Sachsen;Gesamtausgaben;darunter: Länder;2023;Euro;6700;-
Bildungsberichterstattung für nationale Zwecke;Sachsen-Anhalt ;Gesamtausgaben;darunter: Länder;2023;Euro;6900;-
Bildungsberichterstattung für nationale Zwecke;Schleswig-Holstein;Gesamtausgaben;darunter: Länder;2023;Euro;6700;-
Bildungsberichterstattung für nationale Zwecke;Thüringen;Gesamtausgaben;darunter: Länder;2023;Euro;8100;-
Bildungsberichterstattung für nationale Zwecke;Deutschland;Gesamtausgaben;darunter: Länder;2023;Euro;7300;-
Bildungsberichterstattung für nationale Zwecke;Baden-Württemberg;Personalausgaben;Insgesamt;2024;Euro;8000;p
Bildungsberichterstattung für nationale Zwecke;Bayern;Personalausgaben;Insgesamt;2024;Euro;8200;p
Bildungsberichterstattung für nationale Zwecke;Berlin;Personalausgaben;Insgesamt;2024;Euro;8800;p
Bildungsberichterstattung für nationale Zwecke;Brandenburg;Personalausgaben;Insgesamt;2024;Euro;8000;p
Bildungsberichterstattung für nationale Zwecke;Bremen;Personalausgaben;Insgesamt;2024;Euro;8500;p
Bildungsberichterstattung für nationale Zwecke;Hamburg;Personalausgaben;Insgesamt;2024;Euro;8600;p
Bildungsberichterstattung für nationale Zwecke;Hessen;Personalausgaben;Insgesamt;2024;Euro;8100;p
Bildungsberichterstattung für nationale Zwecke;Mecklenburg-Vorpommern;Personalausgaben;Insgesamt;2024;Euro;6900;p
Bildungsberichterstattung für nationale Zwecke;Niedersachsen;Personalausgaben;Insgesamt;2024;Euro;8000;p
Bildungsberichterstattung für nationale Zwecke;Nordrhein-Westfalen;Personalausgaben;Insgesamt;2024;Euro;7500;p
Bildungsberichterstattung für nationale Zwecke;Rheinland-Pfalz;Personalausgaben;Insgesamt;2024;Euro;7800;p
Bildungsberichterstattung für nationale Zwecke;Saarland;Personalausgaben;Insgesamt;2024;Euro;7900;p
Bildungsberichterstattung für nationale Zwecke;Sachsen;Personalausgaben;Insgesamt;2024;Euro;7400;p
Bildungsberichterstattung für nationale Zwecke;Sachsen-Anhalt ;Personalausgaben;Insgesamt;2024;Euro;7200;p
Bildungsberichterstattung für nationale Zwecke;Schleswig-Holstein;Personalausgaben;Insgesamt;2024;Euro;7700;p
Bildungsberichterstattung für nationale Zwecke;Thüringen;Personalausgaben;Insgesamt;2024;Euro;8500;p
Bildungsberichterstattung für nationale Zwecke;Deutschland;Personalausgaben;Insgesamt;2024;Euro;7900;p
Bildungsberichterstattung für nationale Zwecke;Baden-Württemberg;Laufender Sachaufwand;Insgesamt;2024;Euro;1200;p
Bildungsberichterstattung für nationale Zwecke;Bayern;Laufender Sachaufwand;Insgesamt;2024;Euro;1500;p
Bildungsberichterstattung für nationale Zwecke;Berlin;Laufender Sachaufwand;Insgesamt;2024;Euro;3100;p
Bildungsberichterstattung für nationale Zwecke;Brandenburg;Laufender Sachaufwand;Insgesamt;2024;Euro;1500;p
Bildungsberichterstattung für nationale Zwecke;Bremen;Laufender Sachaufwand;Insgesamt;2024;Euro;2100;p
Bildungsberichterstattung für nationale Zwecke;Hamburg;Laufender Sachaufwand;Insgesamt;2024;Euro;4500;p
Bildungsberichterstattung für nationale Zwecke;Hessen;Laufender Sachaufwand;Insgesamt;2024;Euro;1400;p
Bildungsberichterstattung für nationale Zwecke;Mecklenburg-Vorpommern;Laufender Sachaufwand;Insgesamt;2024;Euro;1700;p
Bildungsberichterstattung für nationale Zwecke;Niedersachsen;Laufender Sachaufwand;Insgesamt;2024;Euro;1200;p
Bildungsberichterstattung für nationale Zwecke;Nordrhein-Westfalen;Laufender Sachaufwand;Insgesamt;2024;Euro;1300;p
Bildungsberichterstattung für nationale Zwecke;Rheinland-Pfalz;Laufender Sachaufwand;Insgesamt;2024;Euro;1000;p
Bildungsberichterstattung für nationale Zwecke;Saarland;Laufender Sachaufwand;Insgesamt;2024;Euro;1600;p
Bildungsberichterstattung für nationale Zwecke;Sachsen;Laufender Sachaufwand;Insgesamt;2024;Euro;1200;p
Bildungsberichterstattung für nationale Zwecke;Sachsen-Anhalt ;Laufender Sachaufwand;Insgesamt;2024;Euro;1100;p
Bildungsberichterstattung für nationale Zwecke;Schleswig-Holstein;Laufender Sachaufwand;Insgesamt;2024;Euro;1300;p
Bildungsberichterstattung für nationale Zwecke;Thüringen;Laufender Sachaufwand;Insgesamt;2024;Euro;1100;p
Bildungsberichterstattung für nationale Zwecke;Deutschland;Laufender Sachaufwand;Insgesamt;2024;Euro;1500;p
Bildungsberichterstattung für nationale Zwecke;Baden-Württemberg;Investitionen;Insgesamt;2024;Euro;900;p
Bildungsberichterstattung für nationale Zwecke;Bayern;Investitionen;Insgesamt;2024;Euro;2100;p
Bildungsberichterstattung für nationale Zwecke;Berlin;Investitionen;Insgesamt;2024;Euro;1800;p
Bildungsberichterstattung für nationale Zwecke;Brandenburg;Investitionen;Insgesamt;2024;Euro;1500;p
Bildungsberichterstattung für nationale Zwecke;Bremen;Investitionen;Insgesamt;2024;Euro;300;p
Bildungsberichterstattung für nationale Zwecke;Hamburg;Investitionen;Insgesamt;2024;Euro;100;p
Bildungsberichterstattung für nationale Zwecke;Hessen;Investitionen;Insgesamt;2024;Euro;1100;p
Bildungsberichterstattung für nationale Zwecke;Mecklenburg-Vorpommern;Investitionen;Insgesamt;2024;Euro;1300;p
Bildungsberichterstattung für nationale Zwecke;Niedersachsen;Investitionen;Insgesamt;2024;Euro;1200;p
Bildungsberichterstattung für nationale Zwecke;Nordrhein-Westfalen;Investitionen;Insgesamt;2024;Euro;700;p
Bildungsberichterstattung für nationale Zwecke;Rheinland-Pfalz;Investitionen;Insgesamt;2024;Euro;800;p
Bildungsberichterstattung für nationale Zwecke;Saarland;Investitionen;Insgesamt;2024;Euro;900;p
Bildungsberichterstattung für nationale Zwecke;Sachsen;Investitionen;Insgesamt;2024;Euro;1300;p
Bildungsberichterstattung für nationale Zwecke;Sachsen-Anhalt ;Investitionen;Insgesamt;2024;Euro;900;p
Bildungsberichterstattung für nationale Zwecke;Schleswig-Holstein;Investitionen;Insgesamt;2024;Euro;1000;p
Bildungsberichterstattung für nationale Zwecke;Thüringen;Investitionen;Insgesamt;2024;Euro;800;p
Bildungsberichterstattung für nationale Zwecke;Deutschland;Investitionen;Insgesamt;2024;Euro;1100;p
Bildungsberichterstattung für nationale Zwecke;Baden-Württemberg;Gesamtausgaben;Insgesamt;2024;Euro;10200;p
Bildungsberichterstattung für nationale Zwecke;Bayern;Gesamtausgaben;Insgesamt;2024;Euro;11900;p
Bildungsberichterstattung für nationale Zwecke;Berlin;Gesamtausgaben;Insgesamt;2024;Euro;13700;p
Bildungsberichterstattung für nationale Zwecke;Brandenburg;Gesamtausgaben;Insgesamt;2024;Euro;10900;p
Bildungsberichterstattung für nationale Zwecke;Bremen;Gesamtausgaben;Insgesamt;2024;Euro;10900;p
Bildungsberichterstattung für nationale Zwecke;Hamburg;Gesamtausgaben;Insgesamt;2024;Euro;13200;p
Bildungsberichterstattung für nationale Zwecke;Hessen;Gesamtausgaben;Insgesamt;2024;Euro;10500;p
Bildungsberichterstattung für nationale Zwecke;Mecklenburg-Vorpommern;Gesamtausgaben;Insgesamt;2024;Euro;9900;p
Bildungsberichterstattung für nationale Zwecke;Niedersachsen;Gesamtausgaben;Insgesamt;2024;Euro;10400;p
Bildungsberichterstattung für nationale Zwecke;Nordrhein-Westfalen;Gesamtausgaben;Insgesamt;2024;Euro;9500;p
Bildungsberichterstattung für nationale Zwecke;Rheinland-Pfalz;Gesamtausgaben;Insgesamt;2024;Euro;9500;p
Bildungsberichterstattung für nationale Zwecke;Saarland;Gesamtausgaben;Insgesamt;2024;Euro;10300;p
Bildungsberichterstattung für nationale Zwecke;Sachsen;Gesamtausgaben;Insgesamt;2024;Euro;10000;p
Bildungsberichterstattung für nationale Zwecke;Sachsen-Anhalt ;Gesamtausgaben;Insgesamt;2024;Euro;9100;p
Bildungsberichterstattung für nationale Zwecke;Schleswig-Holstein;Gesamtausgaben;Insgesamt;2024;Euro;10000;p
Bildungsberichterstattung für nationale Zwecke;Thüringen;Gesamtausgaben;Insgesamt;2024;Euro;10400;p
Bildungsberichterstattung für nationale Zwecke;Deutschland;Gesamtausgaben;Insgesamt;2024;Euro;10500;p
Bildungsberichterstattung für nationale Zwecke;Baden-Württemberg;Gesamtausgaben;darunter: Länder;2024;Euro;7400;p
Bildungsberichterstattung für nationale Zwecke;Bayern;Gesamtausgaben;darunter: Länder;2024;Euro;7000;p
Bildungsberichterstattung für nationale Zwecke;Berlin;Gesamtausgaben;darunter: Länder;2024;Euro;13700;p
Bildungsberichterstattung für nationale Zwecke;Brandenburg;Gesamtausgaben;darunter: Länder;2024;Euro;7500;p
Bildungsberichterstattung für nationale Zwecke;Bremen;Gesamtausgaben;darunter: Länder;2024;Euro;10900;p
Bildungsberichterstattung für nationale Zwecke;Hamburg;Gesamtausgaben;darunter: Länder;2024;Euro;13200;p
Bildungsberichterstattung für nationale Zwecke;Hessen;Gesamtausgaben;darunter: Länder;2024;Euro;7700;p
Bildungsberichterstattung für nationale Zwecke;Mecklenburg-Vorpommern;Gesamtausgaben;darunter: Länder;2024;Euro;6800;p
Bildungsberichterstattung für nationale Zwecke;Niedersachsen;Gesamtausgaben;darunter: Länder;2024;Euro;7500;p
Bildungsberichterstattung für nationale Zwecke;Nordrhein-Westfalen;Gesamtausgaben;darunter: Länder;2024;Euro;7200;p
Bildungsberichterstattung für nationale Zwecke;Rheinland-Pfalz;Gesamtausgaben;darunter: Länder;2024;Euro;7300;p
Bildungsberichterstattung für nationale Zwecke;Saarland;Gesamtausgaben;darunter: Länder;2024;Euro;7600;p
Bildungsberichterstattung für nationale Zwecke;Sachsen;Gesamtausgaben;darunter: Länder;2024;Euro;7200;p
Bildungsberichterstattung für nationale Zwecke;Sachsen-Anhalt ;Gesamtausgaben;darunter: Länder;2024;Euro;6900;p
Bildungsberichterstattung für nationale Zwecke;Schleswig-Holstein;Gesamtausgaben;darunter: Länder;2024;Euro;7100;p
Bildungsberichterstattung für nationale Zwecke;Thüringen;Gesamtausgaben;darunter: Länder;2024;Euro;8200;p
Bildungsberichterstattung für nationale Zwecke;Deutschland;Gesamtausgaben;darunter: Länder;2024;Euro;7700;p
